sku,adı,purchase_price,price,stock,etkin,description,barcode,weight
TREST,TREST,80.03,98.00,7,False,<p>Good product</p>,54445,
DENEME,Deneme,,98.59,0,False,<p>sd asf asdf safasdf&nbsp;</p>,,
KARGO-URN,KARGO Test Ürünü,,9999.00,5,True,<p>&nbsp;product_client_service &nbsp;&nbsp;product_client_service &nbsp;&nbsp;product_client_service &nbsp;&nbsp;product_client_service &nbsp;&nbsp;product_client_service &nbsp;&nbsp;product_client_service &nbsp;</p>,,
AYN-GUN-KARGO,Aynı gün kargo,,9989.00,16,True,<p>aynı g&uuml;n kargoaynı g&uuml;n kargoaynı g&uuml;n kargo</p>,,
TEST-2,test,,1290.00,5,True,<p>asda sdas dasd asd asd asd</p>,,
SRS,HAZIRLANMA SÜRESİ,,980.00,5,True,<p>&nbsp;deneme deneme</p>,,
TEST-ARABA,test araba,,900.00,23,True,deneme deneme,,
AZURE-URUN,Azure Ürün,,2.00,23,True,<p>azd asda sd&nbsp;</p>,,
PAHAL-URUN,Pahalı Ürün,,3599.00,2,False,<p>&ccedil;ok pahalı&nbsp;&ccedil;ok pahalı&nbsp;&ccedil;ok pahalı&nbsp;&ccedil;ok pahalı&nbsp;</p>,,
KOMPLE-URUN,Komple ürün,,999.00,3,True,<p>komple &uuml;r&uuml;n&nbsp;komple &uuml;r&uuml;n&nbsp;komple &uuml;r&uuml;n&nbsp;komple &uuml;r&uuml;n&nbsp;</p>,,
TEST-URUNU-3,Test Ürünü,,909.00,2,False,<p>fotoğraf testi &nbsp;fotoğraf testi&nbsp;</p>,,
MASA-LAMBAS,Masa Lambası,,129.00,10,False,<p>Siyah Helios marka masa lambası.&nbsp;</p>,,
DISPLAY-TST,DISPLAY PRICE TEST,,999.00,5,True,<p>system_product&nbsp;system_product&nbsp;system_product</p>,,
DISPLAY-4-TEST,Display 4 test,,1299.00,5,True,<p>&nbsp;asda sdas ads &nbsp;&nbsp;&nbsp;asda sdas ads &nbsp;&nbsp;asda sdas ads&nbsp;</p>,,
TEST-URUNU-2,Test Ürünü,,100.00,6,False,<p>test testasd asd asd&nbsp;</p>,,
LGTCH-G105-GMNG,Logitech G105 Gaming Kablolou Klavye 920-005054,,159.11,10,True,"<table style=""border-collapse: collapse;border-spacing: 0.0px;width: 743.0px;font-size: 11.0px;clear: both;color: rgb(51,51,51);"" width=""100%""> 
 <tbody> 
  <tr> 
   <td style=""padding: 7.0px 1.0px 3.0px 3.0px;line-height: 1.5;border-top: 1.0px solid rgb(221,221,221);color: rgb(16,15,15);"" width=""18%"">Kategori</td>
   <td style=""padding: 7.0px 1.0px 3.0px 3.0px;line-height: 1.5;border-top: 1.0px solid rgb(221,221,221);font-size: 12.0px;color: rgb(16,15,15);"" width=""82%"">: Kablolu Klavye</td>
  </tr> 
  <tr> 
   <td style=""padding: 7.0px 1.0px 3.0px 3.0px;line-height: 1.5;border-top: 1.0px solid rgb(221,221,221);color: rgb(16,15,15);"" width=""18%"">Marka</td>
   <td style=""padding: 7.0px 1.0px 3.0px 3.0px;line-height: 1.5;border-top: 1.0px solid rgb(221,221,221);font-size: 12.0px;color: rgb(16,15,15);"" width=""82%"">: Logitech</td>
  </tr> 
  <tr> 
   <td style=""padding: 7.0px 1.0px 3.0px 3.0px;line-height: 1.5;border-top: 1.0px solid rgb(221,221,221);color: rgb(16,15,15);"" width=""18%"">Klavye D&uuml;zeni</td>
   <td style=""padding: 7.0px 1.0px 3.0px 3.0px;line-height: 1.5;border-top: 1.0px solid rgb(221,221,221);font-size: 12.0px;color: rgb(16,15,15);"" width=""82%"">: Q Klavye</td>
  </tr> 
  <tr> 
   <td style=""padding: 7.0px 1.0px 3.0px 3.0px;line-height: 1.5;border-top: 1.0px solid rgb(221,221,221);color: rgb(16,15,15);"" width=""18%"">Klavye Bağlantı Tipi</td>
   <td style=""padding: 7.0px 1.0px 3.0px 3.0px;line-height: 1.5;border-top: 1.0px solid rgb(221,221,221);font-size: 12.0px;color: rgb(16,15,15);"" width=""82%"">: USB</td>
  </tr> 
  <tr style=""""> 
   <td style=""padding: 7.0px 1.0px 3.0px 3.0px;line-height: 1.5;border-top: 1.0px solid rgb(221,221,221);color: rgb(16,15,15);"" width=""18%"">İşletim Sistemi Uyumu</td>
   <td style=""padding: 7.0px 1.0px 3.0px 3.0px;line-height: 1.5;border-top: 1.0px solid rgb(221,221,221);font-size: 12.0px;color: rgb(16,15,15);"" width=""82%"">: Windows&reg; 8, Windows&reg; 7 veya Windows&reg; Vista Mac OS&reg; X 10.4 ve daha sonrası</td>
  </tr> 
  <tr> 
   <td style=""padding: 7.0px 1.0px 3.0px 3.0px;line-height: 1.5;border-top: 1.0px solid rgb(221,221,221);color: rgb(16,15,15);"" width=""18%"">Garanti</td>
   <td style=""padding: 7.0px 1.0px 3.0px 3.0px;line-height: 1.5;border-top: 1.0px solid rgb(221,221,221);font-size: 12.0px;color: rgb(16,15,15);"" width=""82%"">: 3 yıl</td>
  </tr>
 </tbody>
</table>",,
JOJAOSDJOASDJD,JOJAOSDJOASDJd,,77.00,777,True,<p>son b&uuml;y&uuml;k sorunlu&nbsp;son b&uuml;y&uuml;k sorunlu&nbsp;son b&uuml;y&uuml;k sorunlu&nbsp;son b&uuml;y&uuml;k sorunlu&nbsp;son b&uuml;y&uuml;k sorunlu&nbsp;son b&uuml;y&uuml;k sorunlu&nbsp;son b&uuml;y&uuml;k sorunlu&nbsp;son b&uuml;y&uuml;k sorunlu&nbsp;</p>,,
JJSDJSDJDD,JOJAOSDJOASDJdad,,237.00,777,True,<p>son b&uuml;y&uuml;k sorunlu&nbsp;son b&uuml;y&uuml;k sorunlu&nbsp;son b&uuml;y&uuml;k sorunlu&nbsp;son b&uuml;y&uuml;k sorunlu&nbsp;son b&uuml;y&uuml;k sorunlu&nbsp;son b&uuml;y&uuml;k sorunlu&nbsp;son b&uuml;y&uuml;k sorunlu&nbsp;son b&uuml;y&uuml;k sorunlu&nbsp;</p>,,
NV-JNG-HSP-DNG,Neva Jenga Ahşap Denge Oyunu 0805,,22.00,10,True,"<p> <strong>İşte d&uuml;nyanın en sevilen denge oyunu!</strong></p> 
<p> <strong>Jenga’da ama&ccedil; tahta blokları &ccedil;ekerek kulenin &uuml;st&uuml;ne</strong></p> 
<p> <strong>koymak, tabii kuleyi devirmeden! Şamatalı, bol kahkahalı,</strong></p> 
<p> <strong>oynaması da son derece kolay.</strong></p> 
<p> <strong>Oyuncu Sayısı : &nbsp;1 veya daha fazla</strong></p>",,
A4-TCH-P-530N-S,A4-Tech OP-530NU Siyah V Track USB Tek Scroll,,18.30,25,True,"<table style=""border-collapse: collapse;border-spacing: 0.0px;width: 743.0px;font-size: 11.0px;clear: both;color: rgb(51,51,51);"" width=""100%""> 
 <tbody> 
  <tr> 
   <td style=""padding: 7.0px 1.0px 3.0px 3.0px;line-height: 1.5;border-top: 1.0px solid rgb(221,221,221);color: rgb(16,15,15);"" width=""18%"">Buton</td>
   <td style=""padding: 7.0px 1.0px 3.0px 3.0px;line-height: 1.5;border-top: 1.0px solid rgb(221,221,221);font-size: 12.0px;color: rgb(16,15,15);"" width=""82%"">: 3 Buton ve Tek Scroll</td>
  </tr> 
  <tr> 
   <td style=""padding: 7.0px 1.0px 3.0px 3.0px;line-height: 1.5;border-top: 1.0px solid rgb(221,221,221);color: rgb(16,15,15);"" width=""18%"">Renk</td>
   <td style=""padding: 7.0px 1.0px 3.0px 3.0px;line-height: 1.5;border-top: 1.0px solid rgb(221,221,221);font-size: 12.0px;color: rgb(16,15,15);"" width=""82%"">: Siyah</td>
  </tr> 
  <tr style=""""> 
   <td style=""padding: 7.0px 1.0px 3.0px 3.0px;line-height: 1.5;border-top: 1.0px solid rgb(221,221,221);color: rgb(16,15,15);"" width=""18%"">Genel &Ouml;zellikler</td>
   <td style=""padding: 7.0px 1.0px 3.0px 3.0px;line-height: 1.5;border-top: 1.0px solid rgb(221,221,221);font-size: 12.0px;color: rgb(16,15,15);"" width=""82%"">: Her y&uuml;zeyde &ccedil;alışabilen yeni optik teknolojisi-K&uuml;rk &uuml;zerinde bile. V-Track dikey ışık teknolojisi ile enerji tasarrufu sağlar Sağ Tuşla 8 farklı fonksiyon (8-in-1 yazılımıyla) Her iki elle kullanılabilir tasarım</td>
  </tr> 
  <tr> 
   <td style=""padding: 7.0px 1.0px 3.0px 3.0px;line-height: 1.5;border-top: 1.0px solid rgb(221,221,221);color: rgb(16,15,15);"" width=""18%"">&Ccedil;&ouml;z&uuml;n&uuml;rl&uuml;k</td>
   <td style=""padding: 7.0px 1.0px 3.0px 3.0px;line-height: 1.5;border-top: 1.0px solid rgb(221,221,221);font-size: 12.0px;color: rgb(16,15,15);"" width=""82%"">: 1000 dpi</td>
  </tr>
 </tbody>
</table>",,
